customer_number,Archetype
14,Gold_Silver_Essential
45,Gold_Silver_Essential
52,Gold_Silver_Traveller
61,Gold_Silver_Essential
63,Bronze_Traveller
67,Gold_Silver_Essential
68,Bronze_Traveller
71,Gold_Silver_Essential
77,Gold_Silver_Essential
81,Gold_Silver_Essential
83,Gold_Silver_Essential
85,Gold_Silver_Essential
108,Gold_Silver_Essential
110,Bronze_Traveller
111,Gold_Silver_Essential
117,Gold_Silver_Essential
119,Gold_Silver_Essential
123,Bronze_Essential
124,Gold_Silver_Essential
133,Gold_Silver_Essential
136,Bronze_Essential
140,Gold_Silver_Essential
144,Bronze_Traveller
149,Bronze_Traveller
153,Gold_Silver_Essential
156,Platinum_Essential
157,Platinum_Essential
166,Bronze_Essential
170,Platinum_Essential
176,Gold_Silver_Traveller
182,Gold_Silver_Essential
186,Platinum_Essential
187,Bronze_Essential
191,Gold_Silver_Essential
198,Gold_Silver_Essential
201,Gold_Silver_Essential
202,Gold_Silver_Essential
206,Platinum_Essential
212,Gold_Silver_Essential
215,Bronze_Essential
218,Platinum_Essential
221,Bronze_Essential
230,Bronze_Traveller
231,Platinum_Essential
232,Platinum_Essential
236,Gold_Silver_Essential
244,Gold_Silver_Essential
247,Gold_Silver_Essential
256,Gold_Silver_Essential
257,Gold_Silver_Essential
258,Bronze_Traveller
263,Platinum_Essential
269,Gold_Silver_Essential
275,Bronze_Traveller
276,Gold_Silver_Essential
277,Platinum_Essential
280,Gold_Silver_Traveller
281,Platinum_Essential
283,Platinum_Essential
305,Bronze_Traveller
308,Gold_Silver_Traveller
309,Gold_Silver_Traveller
312,Platinum_Essential
320,Gold_Silver_Essential
324,Bronze_Traveller
328,Bronze_Essential
341,Platinum_Essential
342,Gold_Silver_Essential
349,Platinum_Essential
350,Bronze_Essential
352,Gold_Silver_Essential
356,Gold_Silver_Traveller
357,Platinum_Essential
359,Gold_Silver_Essential
362,Gold_Silver_Essential
367,Platinum_Essential
368,Gold_Silver_Essential
372,Gold_Silver_Essential
385,Gold_Silver_Essential
386,Gold_Silver_Essential
395,Gold_Silver_Essential
398,Gold_Silver_Traveller
401,Gold_Silver_Traveller
404,Gold_Silver_Essential
409,Bronze_Essential
412,Gold_Silver_Traveller
419,Bronze_Essential
426,Gold_Silver_Essential
427,Gold_Silver_Essential
433,Gold_Silver_Essential
434,Gold_Silver_Traveller
445,Platinum_Essential
447,Bronze_Essential
459,Bronze_Essential
474,Gold_Silver_Essential
475,Gold_Silver_Essential
496,Gold_Silver_Essential
498,Platinum_Essential
507,Bronze_Essential
510,Gold_Silver_Essential
515,Gold_Silver_Traveller
521,Gold_Silver_Free
523,Bronze_Essential
535,Platinum_Essential
538,Gold_Silver_Essential
540,Gold_Silver_Essential
541,Bronze_Traveller
542,Gold_Silver_Essential
550,Gold_Silver_Essential
559,Gold_Silver_Essential
562,Gold_Silver_Essential
571,Bronze_Essential
572,Gold_Silver_Free
579,Platinum_Essential
584,Gold_Silver_Essential
588,Gold_Silver_Essential
589,Gold_Silver_Essential
594,Platinum_Essential
611,Gold_Silver_Essential
616,Gold_Silver_Essential
